"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2019","3076.90959","2019","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2019","3268.24496","2019","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2020","2398.61293","2020","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2020","2541.36341","2020","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2021","2484.94576","2021","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
